.......Configuration......: 
Algorithm: MLPC
Use ngram: false
Negation preprocess: false
Context tag: false
POS tag: false
Replace question mark: false
Replace question mark: false
Stemming:false
Lemmatization:false
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:2500


------Results-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
68.84024, 0.52752304, 0.7185738,0.71512896,0.71661055,0.67990196,0.6859879,0.68269056,0.67228633,0.66566366,0.66870546
68.31133, 0.5226412, 0.7256689,0.73869103,0.7315531,0.6865573,0.6557535,0.6703798,0.6406266,0.6626924,0.65089023
68.669304, 0.5271662, 0.7776916,0.75503373,0.76594126,0.67264,0.6502716,0.66122574,0.614709,0.6598578,0.63618135
68.700096, 0.5288054, 0.7895334,0.7700675,0.7794002,0.6526571,0.62478495,0.6377948,0.6300421,0.6795263,0.65353537
67.39678, 0.5060202, 0.73111326,0.75963557,0.74499846,0.67764086,0.66734016,0.6719362,0.6115226,0.5996254,0.60500324
66.42783, 0.4920946, 0.6743227,0.7160662,0.6944783,0.6777108,0.64930546,0.66306466,0.63545924,0.63120204,0.63317513
67.665794, 0.5116257, 0.70628226,0.73353493,0.7194739,0.69692916,0.6469281,0.6708974,0.6214862,0.6579906,0.6391832
67.56226, 0.5099567, 0.6753469,0.716653,0.6949722,0.68541914,0.6693797,0.67710954,0.66627353,0.6463638,0.655734
68.066505, 0.5157053, 0.7654625,0.7066638,0.7342001,0.67966545,0.6650401,0.67222184,0.6114643,0.675295,0.641421
66.75145, 0.5000364, 0.700395,0.71947855,0.7095471,0.684802,0.61999273,0.65070194,0.61797327,0.6749453,0.6450198
