.......Configuration......: 
Algorithm: DT
Use ngram: false
Negation preprocess: false
Context tag: false
POS tag: false
Replace question mark: false
Replace question mark: false
Stemming:false
Lemmatization:false
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:2500


------Results-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
68.07526, 0.50601745, 0.88534653,0.7149486,0.7908171,0.61618966,0.82825476,0.70659834,0.6236218,0.4592834,0.52862793
68.22615, 0.5132156, 0.8651829,0.7230741,0.78737015,0.61512804,0.8145035,0.70083684,0.6299667,0.47722822,0.54303306
68.19524, 0.510572, 0.9190215,0.70918924,0.8001729,0.600678,0.827577,0.69593173,0.61746293,0.4653187,0.53040165
65.83377, 0.4769178, 0.8596892,0.7148533,0.78038454,0.58239996,0.7878366,0.66931343,0.60096127,0.44107258,0.5078044
69.102936, 0.5225643, 0.8786814,0.7372786,0.8016962,0.62643886,0.8102643,0.70644575,0.63593227,0.4866818,0.5511856
69.950874, 0.5344785, 0.8927578,0.7123709,0.79232806,0.6329103,0.84616077,0.7241239,0.6503657,0.48676285,0.55669236
69.21639, 0.5228641, 0.88444614,0.72746533,0.7981433,0.6234795,0.8263909,0.710698,0.6383586,0.46890417,0.54051626
65.913376, 0.47404203, 0.879291,0.6984083,0.7784442,0.5848049,0.7969268,0.67450297,0.60820574,0.44911218,0.5165749
67.70752, 0.49782264, 0.87139136,0.67998713,0.7638205,0.6102488,0.82167906,0.7002552,0.6363815,0.4742783,0.54336923
69.414185, 0.52939624, 0.8890758,0.7275012,0.80011207,0.6127753,0.83941454,0.70838845,0.66208935,0.46951747,0.5492731
