.......Configuration......: 
Algorithm: NB
Use ngram: false
Negation preprocess: false
Context tag: false
POS tag: false
Replace question mark: false
Replace question mark: false
Stemming:false
Lemmatization:false
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:2500


------Results-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
66.81145, 0.50239944, 0.6645166,0.73585993,0.6982762,0.70625925,0.5754529,0.63409287,0.63627297,0.72388685,0.6770565
65.94331, 0.4907338, 0.6710767,0.7866428,0.7237285,0.691104,0.54982406,0.61207974,0.61830604,0.67052543,0.6431912
65.34794, 0.48109967, 0.692351,0.75908893,0.72336835,0.6683174,0.5459704,0.60077983,0.5998613,0.6810144,0.6375969
66.77736, 0.5024636, 0.68984747,0.7771164,0.73068124,0.6829223,0.5704383,0.62063295,0.6310313,0.6792144,0.65352434
65.20143, 0.47936916, 0.6465175,0.776832,0.7053603,0.70592064,0.5570765,0.6226736,0.60556763,0.6569103,0.6300587
66.864204, 0.5032854, 0.6883269,0.7642158,0.7242332,0.6982122,0.57024676,0.6276933,0.6203817,0.7047922,0.65977204
66.647835, 0.50014067, 0.6841886,0.75638944,0.71835154,0.69958234,0.56746507,0.6265872,0.6161886,0.7097162,0.6594716
67.13655, 0.5077726, 0.67592865,0.76727176,0.71846604,0.7078936,0.5724469,0.63288516,0.63362265,0.7062805,0.66795975
65.84173, 0.4872439, 0.67079234,0.77128804,0.71744645,0.67848116,0.55925107,0.6130433,0.62438935,0.6810184,0.65141124
65.63409, 0.48617408, 0.6700432,0.76116633,0.7125912,0.688898,0.53764224,0.6038112,0.6132931,0.70000017,0.65365964
