.......Configuration......: 
Algorithm: RF
Use ngram: false
Negation preprocess: true
Context tag: false
POS tag: false
Replace question mark: false
Replace question mark: false
Stemming:false
Lemmatization:true
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:2500


------Results-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
78.669624, 0.673221, 0.8998586,0.82268816,0.8594182,0.7299264,0.8634322,0.7910622,0.774141,0.6539618,0.7089231
77.7527, 0.6619126, 0.89701,0.8271837,0.8604831,0.723226,0.83238447,0.7739442,0.74269134,0.6603777,0.6990078
78.61365, 0.67316735, 0.92797774,0.7885955,0.85253733,0.71667993,0.8737906,0.7873606,0.7662035,0.6703351,0.714594
78.37141, 0.67070884, 0.9226734,0.808792,0.8618903,0.70608586,0.8626822,0.7759125,0.7761264,0.66097337,0.7133245
77.71591, 0.6584859, 0.9060506,0.81418556,0.8576479,0.7250384,0.84323186,0.7796394,0.74052024,0.652803,0.69385606
75.74272, 0.627745, 0.9010484,0.7830258,0.8376157,0.7032251,0.82705534,0.7598599,0.71305275,0.63570416,0.6716361
77.44381, 0.6538518, 0.9130066,0.7765464,0.83909565,0.72102946,0.85018647,0.7801998,0.73524916,0.66788614,0.69944316
78.410675, 0.6700266, 0.89958304,0.8156777,0.85541075,0.726224,0.86180586,0.78816575,0.77016085,0.65770537,0.70926994
78.086075, 0.66293746, 0.9001414,0.8103,0.8527726,0.729035,0.86112595,0.7893926,0.7541401,0.6396595,0.69166726
78.04756, 0.6651464, 0.90853214,0.8043952,0.8531886,0.7149409,0.8559157,0.77903175,0.7597524,0.6562191,0.70414066
