.......Configuration......: 
Algorithm: SVM
Use ngram: false
Negation preprocess: true
Context tag: false
POS tag: false
Replace question mark: false
Replace question mark: false
Stemming:false
Lemmatization:false
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:2500


------Results-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
77.66375, 0.65854067, 0.8604705,0.7914139,0.8244496,0.7404648,0.8495766,0.79124314,0.75549763,0.6691461,0.7096721
76.814064, 0.64781463, 0.85295445,0.8075634,0.8290831,0.72385776,0.8246316,0.77086383,0.7507425,0.65892875,0.70166737
76.5225, 0.64216185, 0.90107936,0.79504085,0.8447302,0.7114535,0.8312648,0.766582,0.7146508,0.64741796,0.6791872
75.85353, 0.63330024, 0.8798309,0.80215263,0.8391815,0.6973572,0.81944877,0.7528612,0.73131585,0.6395918,0.68177676
75.75445, 0.62880003, 0.87738514,0.8129029,0.8436523,0.71665347,0.8234759,0.76622087,0.7055288,0.6156082,0.6574019
77.14962, 0.65056396, 0.8574681,0.7945496,0.82473236,0.74339247,0.8356163,0.78663975,0.7301494,0.6605831,0.6932342
76.83466, 0.6452073, 0.86449516,0.80422133,0.8330145,0.73172206,0.83714294,0.78074807,0.7277818,0.6357138,0.67848915
77.58268, 0.6575257, 0.8549694,0.7849167,0.8181803,0.72873133,0.86071575,0.7890185,0.779259,0.6623266,0.7154689
77.26131, 0.6503134, 0.8821944,0.7689696,0.8215019,0.72958255,0.86377543,0.7909549,0.74312866,0.6509532,0.69372463
76.30149, 0.63896793, 0.9056195,0.76127404,0.82679003,0.7104107,0.8406001,0.7698315,0.7165019,0.6643745,0.6889132
