%-(	 negativesentiment 
%-)	 positivesentiment 
(-:	 positivesentiment 
(:	 positivesentiment 
(^ ^)	 positivesentiment 
(^-^)	 positivesentiment 
(^.^)	 positivesentiment 
(^_^)	 positivesentiment 
(o:	 positivesentiment 
)-:	 negativesentiment 
):	 negativesentiment 
)o:	 negativesentiment 
*\o/*	 positivesentiment 
--^--@	 positivesentiment 
0:)	 positivesentiment 
38*	 negativesentiment 
8)	 positivesentiment 
8-0	 negativesentiment 
8/	 negativesentiment 
8\	 negativesentiment 
8c	negativesentiment 
:#	 negativesentiment 
:'(	 negativesentiment 
:'-(	 negativesentiment 
:(	 negativesentiment 
:)	 positivesentiment 
:*(	 negativesentiment 
:,(	 negativesentiment 
:-&	 negativesentiment 
:-(	 negativesentiment 
:-(o)	 negativesentiment 
:-)	 positivesentiment 
:-*	 positivesentiment 
:-*	 positivesentiment 
:-/	 negativesentiment 
:-D	 positivesentiment
:-d	 positivesentiment  
:-P	 positivesentiment
:-p	 positivesentiment 
:-S	 negativesentiment
:-s	 negativesentiment 
:-\	 negativesentiment 
:-|	 negativesentiment 
:-}	 positivesentiment 
:/	 negativesentiment 
:D	 positivesentiment
:d	 positivesentiment 
:E	 negativesentiment
:e	 negativesentiment 
:F	 negativesentiment 
:f	 negativesentiment 
:O	 negativesentiment
:o	 negativesentiment 
:P	 positivesentiment 
:p	 positivesentiment 
:S	 negativesentiment
:s	 negativesentiment 
:X	 positivesentiment
:x	 positivesentiment 
:[	 negativesentiment 
:[	 negativesentiment 
:\	 negativesentiment 
:]	 positivesentiment 
:_(	 negativesentiment 
:b)	 positivesentiment 
:o(	 negativesentiment 
:o)	 positivesentiment 
:|	 negativesentiment  
;^)	 positivesentiment 
</3	negativesentiment 
<3	 positivesentiment 
<o<	 negativesentiment 
=(	 negativesentiment 
=)	 positivesentiment 
=[	 negativesentiment 
=]	 positivesentiment 
>/	 negativesentiment 
>:(	 negativesentiment 
>:)	 positivesentiment 
>:D	 positivesentiment 
>:L	 negativesentiment 
>:O	 negativesentiment 
>=D	 positivesentiment 
>[	 negativesentiment 
>\	 negativesentiment 
>o>	 negativesentiment 
@}->--	 positivesentiment 
B(	 negativesentiment 
Bc	 negativesentiment 
D:	 negativesentiment 
X(	 negativesentiment 
X(	 negativesentiment 
X-(	 negativesentiment 
XD	 positivesentiment 
XD	 positivesentiment 
XO	 negativesentiment 
XP	 negativesentiment 
XP	 positivesentiment 
^_^	 positivesentiment 
^o)	 negativesentiment 
x3?	 positivesentiment 
xD	 positivesentiment 
xP	 negativesentiment 
|8C	 negativesentiment 
|8c	 negativesentiment 
|D	 positivesentiment 
}:)	 positivesentiment 
