@relation SentiSe

@attribute lab {0,-1,1}
@attribute text string

@data
-1,'-lrb- in this particular case hoss clearly intended to use the no-no word as an intensifier and not to NOT_stir shit . -rrb-'
-1,' forget the patch for the moment. '
-1,'i think the comments here are a bad sign ... i sent us down an unfortunate slippery slope we are a search engine library !NOT_do not NOT_put shit in the index directory !or we will delete your shit .dead simple .'
-1,' i used to be the latter  but then i went to law school and got a degree in this shit.  '
-1,' idiot yeah  i was on that idiot-path for a good while but commons-lang is a hairball  at least where this hashcode making and equals is concerned. '
-1,' if you want to make these optimizations  fix the apis so its intuitive  otherwise  no way. '
-1,'jira _ i wish you NOT_did not NOT_suck NOT_so NOT_much .'
-1,' matt... i am an idiot  i used the wrong patch. sigh. '
-1,' oleg  please accept that my \"logical\" is different from your \"logical\". '
-1,' that is some freaky shit ... '
-1,' the samples you gave are different. '
-1,'we NOT_should not NOT_invoke the NOT_global NOT_synced fieldnumbers shit for every element only when the setting actually changes'
-1,'(back from holidays  so a bit delayed  but) i confirm andrzej\'s suggestion_- a plain-text only summarized is ideal for clustering for example. '
-1,'-lrb- do nothing negativesentiment are you serious about that ?'
-1,'(how bad is this? '
-1,'-lrb- i NOT_could not NOT_get what NOT_keyword means . -rrb-'
-1,'(sorry if that was confusing) '
-1,'* release of the framework. '
-1,'* replaced treemap with an array of final ` segment \' objects ** -lrb- now very slightly faster than trunk -rrb- * rebased for trunk * removed the patch renaming sstablereadertest to segmentedfiletest i NOT_did not NOT_remove the builder pattern because the alternative seems pretty ugly -lrb- copying the segments array for every append -rrb- .'
-1,'*damn*  i forgot. '
-1,'*sorry* '
-1,'  PositiveSentiment   sorry about that. '
-1,'[~cmccabe]: oh  hell no! '
-1,'[~shazron]sorry  that was weird. '
-1,'{quote} searcher.getatomicreader().getsorteddocvalues(uniquekey); {quote}  this is a performance killer. '
-1,'{quote}you are messing down deep below hbase in dfs. '
-1,'+1 -lrb- damn intellij it NOT_is not NOT_like patch format NOT_has not NOT_been NOT_standard for years -rrb-'
-1,'+1 for this: my bad. '
-1,'<gmcdonald>   my bad  '
-1,'> i hated that aspect of working for commercial companies. '
-1,'> then we NOT_do not NOT_save io by limiting the buffer size to 1 kb i am confused by this .'
-1,'> we cannot let fear of back-compat prevent us from making progress. '
-1,'-1 to jar hell. '
-1,'2 5 hours gone. '
-1,'a feature with wrong functionality is as bad as if not NOT_worse than a NOT_bad performance .'
-1,'a stupid bug in a patch that is already applied. '
-1,'aaarrggh  how stupid of mine  to have a system.out  again! '
-1,'aaron  sorry about this. '
-1,'actually i NOT_do not NOT_want to NOT_specify the encoding because i NOT_do not NOT_care how the data is transported to me .'
-1,'actually that is what this change did  sorry for the noise. '
-1,'ah  damn  i thought it was fixed   NegativeSentiment    guillaume ? '
-1,'ah  sorry i misunderstood you. '
-1,'ah  that was my bad. '
-1,'ah  too bad. '
-1,'ah_ my bad. '
-1,'all i am trying to say is that it is pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that NOT_are not NOT_foreseen .'
-1,'also  your username was stupidly named and confusing  so i deleted it and created a new one more appropriate. '
-1,'am i doing something stupid here? '
-1,'an output connector should also have a say in what urls it will accept. '
-1,'and boy  hell broke loose ;)  so... the biggest issue i am facing is indeed with random sharing across threads. '
