2moro tomorrow
2nite tonight
brb be|right|back
btw by the way
b4n bye|for|now
bcnu see|seeing|you
bff best|friend|for|ever
cya cover|your|ass
dbeyr dont|believe|everyting|you|hear
dilligas do|i|look|like|i|give|a|shit
gr8 great
gr8t great
irl in|real|life
iso in|search|of
l8r later
lmao laughing|my|ass|off
mhoty my|hats|off|to|u
nimby not|in|my|back|yeard
lol laughing|out|loud
np no|problem
oic oh|i|see
nub new|person|to|game
omg oh|my|god
ot off|topic
pov point|of|view
plz please
pls please
rbtl read|between|the|lines
rt real|time
sh shit|happens
sitd still|in|the|dark
sol sonner|or|later
stby sucks|to|be|you
tfh thread|from|hell
thx thanks
rtm read|the|mannual
tmi too|much|information
ttyl talk|to|you|later
tyvm thank|you|very|much
vbg very|big|green
weg wicked|evil|grin
wtf what|the|fuck
wywh wish|you|were|here
