.......Configuration......: 
Use ngram: false
Negation preprocess: false
Context tag: false
POS tag: false
Replace question mark: false
Replace exclamation mark: false
Stemming:true
Lemmatization:false
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:4000


------Results-------


------RF-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
55.68515, 0.315356, 0.3934091,0.45412338,0.41921717,0.5763856,0.7156514,0.6284393,0.6923095,0.50199664,0.5673611
44.99582, 0.17664938, 0.42006382,0.59845597,0.47958818,NaN,0.40226045,NaN,0.43479365,0.42122763,0.41938877
39.658516, 0.044780508, 0.23819265,0.25097042,0.24421947,0.42049393,0.32075405,0.36219257,0.43951914,0.53231037,0.47939637
54.51121, 0.28816837, 0.43755952,NaN,NaN,0.52925134,0.5879206,0.53874135,0.6220805,0.55828804,0.5732562
54.156532, 0.29645067, 0.4393465,0.5465909,0.48356175,0.5705447,0.6272839,0.58807117,0.5784573,0.48960227,0.5291796
53.507187, 0.27943793, 0.47504273,0.6626407,0.54614973,0.58529943,0.5431587,0.56088215,0.5296554,0.45353875,0.4823027
61.68948, 0.40636852, 0.4414469,0.7206963,0.5419103,0.7089243,0.52786225,0.58933234,0.66485006,0.71126956,0.66921633
61.433044, 0.39653283, 0.47700882,0.50411254,0.48719555,0.63008404,0.7623192,0.6867742,0.6641047,0.5106959,0.5750209
64.462265, 0.4559178, 0.74277776,0.51370853,0.59612614,0.77844924,0.63718104,0.69288385,0.51312494,0.78200155,0.6093966
48.254417, 0.17592607, NaN,0.4060101,NaN,0.38682538,0.41374514,0.39824328,0.57340354,0.54812235,0.5550361
53.8353621,0.28355880780000003,NaN,NaN,NaN,NaN,0.553813673,NaN,0.571229873,0.550905306,0.545955467


------SL-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
50.722366, 0.24136107, 0.67,0.41775975,0.5110644,0.44883627,0.8600547,0.57498515,NaN,0.25476,NaN
56.81514, 0.3198807, 0.96666664,0.5198774,0.66160977,0.4676778,0.68178713,0.55087173,0.5623222,0.5034061,0.52949834
54.550106, 0.2642973, NaN,0.17898269,NaN,0.4664699,0.8788431,0.60217106,0.7928671,0.41926503,0.5378803
49.86492, 0.2241655, NaN,NaN,NaN,0.4163003,0.7780476,0.53108406,0.63500154,0.3861694,0.4638807
53.68551, 0.29352415, NaN,0.34924242,NaN,0.4330913,0.77830535,0.54239756,0.78946275,0.450051,0.5687979
60.45301, 0.36370188, 0.6495238,0.48485932,0.55053294,0.55238557,0.9073737,0.6833474,0.76744586,0.35609236,0.48072952
66.0397, 0.45509246, 0.5767677,0.7206963,0.6333079,0.67112553,0.7422329,0.70033634,0.6919262,0.586062,0.6181103
54.827705, 0.2873887, 0.5978968,0.46683982,0.51804537,0.5207994,0.8030667,0.6284865,0.56603175,0.3364498,0.41633412
61.347244, 0.39166763, 0.8780952,0.51370853,0.6468359,0.5869739,0.84465563,0.6904337,0.4630925,0.33945003,0.39120132
52.36835, 0.2690032, NaN,0.4060101,NaN,0.43255556,0.8586186,0.56998444,0.6292857,0.36339322,0.45368224
56.067405099999995,0.311008259,NaN,NaN,NaN,0.499621553,0.813298541,0.607409794,NaN,0.399509894,NaN
