.......Configuration......: 
Use ngram: false
Negation preprocess: false
Context tag: false
POS tag: false
Replace question mark: false
Replace exclamation mark: false
Stemming:false
Lemmatization:true
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:4000


------Results-------


------RF-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
79.10197, 0.6800698, 0.8827979,0.8123271,0.84582055,0.74930936,0.8774849,0.8083216,0.77280724,0.6599468,0.7117339
78.58887, 0.6743118, 0.8966399,0.8213036,0.85725546,0.7292934,0.8538656,0.78662395,0.76585776,0.6663988,0.71258134
77.777145, 0.6611587, 0.9184845,0.79360396,0.8513077,0.71396,0.84898996,0.77545637,0.7440526,0.66857225,0.7039657
78.601585, 0.67446333, 0.9204041,0.8271586,0.8712573,0.70986176,0.8566154,0.7757593,0.77540034,0.6583292,0.71130097
78.03502, 0.663388, 0.909199,0.8342695,0.8700711,0.7291413,0.84751666,0.78381556,0.7389792,0.6379091,0.6845501
77.66774, 0.6586353, 0.9077806,0.8291688,0.8666026,0.7293919,0.81910306,0.77157474,0.7224621,0.6651553,0.6925103
77.629425, 0.65729904, 0.9156133,0.80007744,0.8538716,0.73274213,0.84444696,0.7845183,0.7135578,0.6574872,0.68404055
77.41869, 0.6550237, 0.87305903,0.82104343,0.8458565,0.72006625,0.84482044,0.7774486,0.7658758,0.641655,0.6981072
79.3001, 0.68177354, 0.9168102,0.8113466,0.8607288,0.7436564,0.87390745,0.8034187,0.7573298,0.6621606,0.7064355
79.17875, 0.6830536, 0.9326001,0.7954281,0.8582479,0.7375941,0.860533,0.7942861,0.7447794,0.6989043,0.7209699
78.3299295,0.668917681,0.907338863,0.8145727130000001,0.8581019509999999,0.72950166,0.8527283429999999,0.786122322,0.750110204,0.6616518549999999,0.702619546


------SL-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
80.69318, 0.7031893, 0.9143964,0.84560776,0.8781844,0.7297659,0.9094799,0.8097595,0.84767425,0.6383056,0.7279667
80.213455, 0.69821, 0.9119957,0.83117014,0.8695932,0.73054874,0.901383,0.80694944,0.81664366,0.6504502,0.7235988
80.749565, 0.7055884, 0.91981965,0.8237827,0.8690934,0.73800164,0.9033501,0.81226397,0.81226104,0.6656502,0.7315774
80.19256, 0.6978008, 0.9303713,0.8144963,0.86854976,0.7142771,0.9013209,0.79664934,0.82868624,0.6667634,0.7387799
80.16811, 0.6954661, 0.9100629,0.8403935,0.8737677,0.73449147,0.87941015,0.80029035,0.8140756,0.66029584,0.72895914
79.93097, 0.6918084, 0.9028436,0.8475579,0.87412024,0.73772913,0.87739897,0.80138594,0.800899,0.6436793,0.7135508
81.66508, 0.7182389, 0.9175768,0.8395934,0.876743,0.75371325,0.8995851,0.8201383,0.8260017,0.67800546,0.7443426
80.35258, 0.6988897, 0.8848306,0.8373546,0.86003566,0.73252046,0.91004866,0.81167316,0.8558783,0.6381467,0.73095137
80.91298, 0.7053172, 0.91907203,0.81432194,0.86327225,0.73838156,0.9161444,0.81766146,0.8386708,0.65625465,0.7358044
79.92748, 0.6932812, 0.9149031,0.8148906,0.8619008,0.7307525,0.8985835,0.8059302,0.8008534,0.65321046,0.7192709
80.48059600000002,0.700779,0.912587208,0.8309168840000002,0.8695260410000001,0.734018175,0.8996704680000001,0.808270166,0.824164399,0.6550761810000001,0.7294802009999999


------CNN-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
79.365875, 0.6855719, 0.8456357,0.8267378,0.83592117,0.7657927,0.83914584,0.80077404,0.7848265,0.704067,0.741994
79.763016, 0.69319296, 0.8551995,0.84334475,0.84876615,0.7663156,0.8409211,0.80172527,0.78414136,0.69889927,0.7389763
78.736626, 0.67663485, 0.8924637,0.82365394,0.8565821,0.7395542,0.8335266,0.7835832,0.75106364,0.68971866,0.7189713
78.8826, 0.6797181, 0.8974484,0.8409479,0.86823845,0.73288137,0.82777333,0.7769573,0.760998,0.6882303,0.7222286
78.56772, 0.67289513, 0.8635514,0.83093804,0.84683067,0.7539614,0.82901055,0.78967595,0.7561303,0.68360114,0.7178981
79.43363, 0.6869976, 0.8633552,0.8556539,0.8593217,0.7730425,0.81446975,0.79315656,0.7528327,0.70428437,0.72768563
79.29559, 0.684495, 0.8781009,0.83241826,0.85450596,0.7634124,0.81415945,0.78791136,0.75061995,0.7223103,0.73615646
78.448, 0.67260325, 0.85042447,0.82740784,0.8386457,0.7647137,0.82258636,0.7925024,0.74858075,0.69746536,0.7219396
78.8829, 0.67724, 0.8506781,0.81201774,0.83070207,0.7619717,0.83493495,0.7967227,0.76834995,0.7019562,0.7334516
79.22929, 0.68513465, 0.89077353,0.8251254,0.85655206,0.7600178,0.81900984,0.78838426,0.7400507,0.7229352,0.73130107
79.0605247,0.6814483440000001,0.8687630899999998,0.831824557,0.849606603,0.758166337,0.827553777,0.791139304,0.7597593850000001,0.70134678,0.7290602660000001


------SVM-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
75.7248, 0.6292777, 0.8342849,0.77670115,0.80441904,0.727125,0.82100165,0.77110606,0.73190594,0.6570001,0.69230294
76.01697, 0.63580495, 0.8445177,0.7914863,0.8165593,0.7277742,0.8261298,0.7738036,0.7252842,0.647762,0.6838279
76.28109, 0.63880825, 0.8895217,0.7906145,0.83709776,0.7127159,0.8166095,0.76108396,0.71355236,0.6622752,0.68667984
75.01776, 0.6206022, 0.8489896,0.7873683,0.81690603,0.7027177,0.80367994,0.7497274,0.7190276,0.6443343,0.67949235
75.676865, 0.6272993, 0.84966236,0.7955691,0.8216228,0.71885926,0.8343707,0.7722241,0.72633785,0.6152048,0.66596407
76.74, 0.6443808, 0.8630222,0.81102175,0.83604026,0.7363481,0.82821286,0.77949905,0.7181441,0.6398889,0.67669064
75.72125, 0.6282412, 0.8564772,0.7828523,0.81786,0.72211105,0.82507753,0.7699755,0.71347654,0.6365719,0.6726462
76.17053, 0.63614905, 0.85171604,0.7790731,0.81365263,0.7171656,0.8408817,0.7739452,0.74876815,0.6472376,0.69395876
76.53907, 0.64017844, 0.8701093,0.77589446,0.82015526,0.7278799,0.8369854,0.77849215,0.7263007,0.65688634,0.689668
74.38409, 0.61017126, 0.85825455,0.7507855,0.80075663,0.69832397,0.80935085,0.74967045,0.7041189,0.65177304,0.67688906
75.8272425,0.6310913149999999,0.856655555,0.784136646,0.818506971,0.7191020679999999,0.8242299929999998,0.767952747,0.722691634,0.645893418,0.681811976
