.......Configuration......: 
Use ngram: false
Negation preprocess: false
Context tag: false
POS tag: false
Replace question mark: false
Replace exclamation mark: false
Remove identifiers: true
Stemming:false
Lemmatization:false
Only V, Adv, Adj:false
Mark sentiment words:0
Min term frequency:3
Max features:4000


------Results-------


------RF-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
79.07186, 0.6793518, 0.8870649,0.81075764,0.8469184,0.73705226,0.87306565,0.799254,0.79049176,0.66578585,0.7227252
77.6752, 0.66047597, 0.8934918,0.79938936,0.8436273,0.72801524,0.8511966,0.7846947,0.74139136,0.66243595,0.6990229
77.35595, 0.65465, 0.91115844,0.8276013,0.86731327,0.71466005,0.83651537,0.7706497,0.7249276,0.633587,0.67554814
78.71829, 0.6762857, 0.9257968,0.83445764,0.8777311,0.713662,0.8546737,0.77712727,0.76727027,0.65664124,0.7063871
78.71365, 0.6743152, 0.8944466,0.8253198,0.858403,0.74223024,0.8444701,0.78993356,0.75570226,0.67324066,0.7118918
77.72163, 0.65907735, 0.89083433,0.8267643,0.8575333,0.7317198,0.83205986,0.7785445,0.7357291,0.6519584,0.6909623
79.07097, 0.678414, 0.9089907,0.8207429,0.8625419,0.7292989,0.86700135,0.7921963,0.77809733,0.65318584,0.7101326
78.13022, 0.66582716, 0.8933217,0.81442463,0.8518989,0.7263506,0.8491839,0.78292847,0.7647869,0.66508496,0.71126187
78.41173, 0.6675585, 0.90362793,0.78841114,0.8419366,0.7301559,0.8818002,0.7987663,0.7650586,0.6451203,0.69995105
78.81476, 0.6775234, 0.9072458,0.79137987,0.8451649,0.73709553,0.85834134,0.7930723,0.75356346,0.693672,0.7220518
78.368426,0.669347908,0.9015979000000002,0.8139248579999998,0.855306867,0.729024052,0.8548308069999999,0.78671671,0.7577018639999998,0.6600712200000001,0.704993476


------SL-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
80.982635, 0.70810735, 0.9158038,0.85071725,0.8818439,0.73983264,0.9018762,0.81281173,0.83278096,0.6530289,0.73195356
80.33879, 0.7004483, 0.9032576,0.8365744,0.8682356,0.7387094,0.89304596,0.80855185,0.8118011,0.6593749,0.7273877
80.30167, 0.6985067, 0.92450666,0.839932,0.88014174,0.72471005,0.89730585,0.80168307,0.81408894,0.6419565,0.7176313
80.04873, 0.69584775, 0.91236967,0.83636564,0.8726766,0.71905595,0.8972018,0.797904,0.82689446,0.64553446,0.7246982
80.39524, 0.69900596, 0.9142769,0.85663617,0.88444614,0.73790765,0.881588,0.8033185,0.8093536,0.6488954,0.7202528
80.36476, 0.6979738, 0.9077522,0.85122806,0.878493,0.7344688,0.892924,0.80580735,0.82367814,0.6337349,0.7154824
81.06673, 0.70937544, 0.90866286,0.85590035,0.88131183,0.7485013,0.87921894,0.80849123,0.8177296,0.66890687,0.7352111
80.32641, 0.6987143, 0.8962655,0.8357679,0.86473006,0.7344458,0.89480454,0.8067124,0.83328944,0.6577271,0.7350119
79.54891, 0.68435067, 0.9026031,0.8208666,0.8597194,0.7310984,0.899315,0.8064854,0.80863744,0.62608033,0.7055783
79.91498, 0.6931715, 0.908352,0.831852,0.86836445,0.7298127,0.89039886,0.8020891,0.8046727,0.645119,0.7158145
80.3288855,0.6985501769999999,0.9093850290000001,0.841584037,0.873996272,0.7338542690000001,0.892767915,0.805385463,0.818292638,0.648035836,0.7229021760000001


------CNN-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
78.029785, 0.66511685, 0.8504919,0.8223939,0.83618456,0.75119483,0.8275191,0.787471,0.7552741,0.6802951,0.71570116
78.904205, 0.6804003, 0.85686463,0.8438352,0.84989035,0.7581803,0.8186219,0.78711677,0.76361996,0.6983152,0.7293455
77.2784, 0.6543026, 0.8875732,0.8264712,0.85586685,0.7209578,0.81782275,0.7661054,0.7311462,0.65789485,0.69243264
77.49297, 0.65884715, 0.878727,0.8368057,0.8571065,0.7255437,0.81170404,0.7656574,0.7407014,0.6679267,0.70150274
78.15186, 0.6672499, 0.8583872,0.8522571,0.855054,0.755405,0.8079474,0.7806756,0.74079084,0.6772197,0.7075589
77.51258, 0.6569579, 0.8586151,0.83545256,0.8467498,0.74974805,0.81415254,0.7805271,0.7252037,0.65989846,0.69083107
78.247856, 0.6684295, 0.8711687,0.8442348,0.85732394,0.75154287,0.80602914,0.77762175,0.7357326,0.6858419,0.7096067
78.5695, 0.67426354, 0.84546894,0.84015757,0.8424913,0.75608903,0.81289023,0.7833972,0.7690017,0.70032823,0.7328916
77.73355, 0.65903, 0.8561569,0.7980419,0.8260366,0.74315923,0.8344606,0.78612816,0.7529486,0.6772522,0.71303844
78.1627, 0.66861534, 0.9012305,0.80444735,0.8496941,0.7415961,0.8176441,0.7776489,0.72588915,0.7109289,0.718214
78.0083406,0.665321308,0.8664684069999999,0.830409728,0.8476397999999999,0.7453416909999999,0.8168791799999999,0.7792349279999999,0.7440308250000001,0.681590124,0.711112275


------SVM-------
Accuracy, Kappa, Precision(pos), Recall(pos), Fmeasure(pos), Precision(neu), Recall(neu), Fmeasure(neu), Precision(neg), Recall(neg), Fmeasure(neg)
76.45728, 0.64025366, 0.8526663,0.78660196,0.8182753,0.7309891,0.832465,0.77841604,0.73485357,0.6566894,0.6935248
75.518906, 0.6281073, 0.844155,0.78984934,0.8155991,0.71556234,0.81768537,0.7631017,0.7277501,0.6437817,0.68254787
75.908966, 0.6327477, 0.89367867,0.8018293,0.845249,0.7035653,0.82208145,0.7581086,0.7087757,0.63080627,0.6673029
